created_at,user.name,user.description,text,extended_tweet.full_text,entities.hashtags
Tue Aug 10 21:17:57 +0000 2021,Citizen 7659876 🧱,"If you want to be different, if you want your life to be different, make different choices 🦄",@Cambiacasacca e certo in questa situazione surreallucinante di cosa ci preoccupiamo?… dell’orgoglio trans a mostra… https://t.co/W5QxuWtkKv,@Cambiacasacca e certo in questa situazione surreallucinante di cosa ci preoccupiamo?… dell’orgoglio trans a mostrare il green pass! … devono morire male!,[]
Wed Aug 11 00:33:40 +0000 2021,Tullio,,"@Gigadesires Quindi, si vergognano di essere trans e gay ?  Non sono orgogliosi di esserlo ?  Non sono orgogliosi d… https://t.co/gAmvoknfbX","@Gigadesires Quindi, si vergognano di essere trans e gay ?  Non sono orgogliosi di esserlo ?  Non sono orgogliosi di essere l' evoluzione della specie?",[]
Wed Aug 11 04:28:47 +0000 2021,~ serri ~,booklover | art student | tea and chocolate addicted | anxious | *overthinking* | stark | ravenclaw |INTP|🏳️‍🌈(she/they),"tw // transfobia

ehmm tipo no?!?! se una donna trans sta con un uomo è etero in quanto si identifica come donna, n… https://t.co/CqUT0EFFG0","tw // transfobia

ehmm tipo no?!?! se una donna trans sta con un uomo è etero in quanto si identifica come donna, non come uomo",[]
Wed Aug 11 06:51:02 +0000 2021,Matteo Navacci,"Co-founder of Privacy Network (@privacynetwork_) //
Privacy law counsel & DPO //
Entrepreneur //
#Bitcoin //
Screeching voice of the minority.","Si scrive ""manifesta incongruenza dei dati anagrafici""; si legge ""discriminazione delle persone trans e queer"".

Be… https://t.co/TSj30kFqTZ","Si scrive ""manifesta incongruenza dei dati anagrafici""; si legge ""discriminazione delle persone trans e queer"".

Benvenuti in Italia, dove il DDL Zan è ""controverso"" e dove per entrare al ristorante devi dimostrare la congruità della tua identità di genere.

Governo 2 / LGBTQI+ 0",[]
Wed Aug 11 07:04:59 +0000 2021,Tullio,,Per cirinna i trans e i gay vogliono la riservatezza. Non sono più   orgogliosi di essere l' evoluzione della speci… https://t.co/NpFAbiD1h3,Per cirinna i trans e i gay vogliono la riservatezza. Non sono più   orgogliosi di essere l' evoluzione della specie. https://t.co/kJZKZ1Kxo4,[]
Wed Aug 11 08:44:55 +0000 2021,Sasha 🌼,Anche oggi ho voglia di gelato,Persone trans che dicono dati di fatto e persone che gli dicono che hanno transfobia interiorizzata ok,,[]
Wed Aug 11 09:14:29 +0000 2021,poveromau,,O si diventa tutti froci o non hai più diritti.,,[]
Wed Aug 11 10:31:11 +0000 2021,PaRe81🇮🇹ن,"toscano, milanese d'adozione, cattolico praticante perchè NON SONO UN SANTO, 👍identità chiare e distinte 👎la fluidità, amo viaggiare, AMO L'EUROPA ODIO L'UE",@FrancescoSaro Ormai i diritti esistono solo per loro neri gialli gay trans e compagnia... se non appartieni a ques… https://t.co/dH4YcV1T2S,@FrancescoSaro Ormai i diritti esistono solo per loro neri gialli gay trans e compagnia... se non appartieni a queste categorie non sei nessuno. BASTA!!!!! LA SINISTRA IN ITALIA DEVE ESSERE RIDOTTA AL LUMICINO UNA PURA PRESENZA SIMBOLICA ALMENO PER....UN VENTENNIO 🤣 troppi danni stanno facendo,[]
Wed Aug 11 11:06:49 +0000 2021,grets,gli occhi mi schizzano fuori dalle orbite come levi ackerman,"siete talmente scemi che urlate alla transfobia nella comunità bisessuale, esonerando i vostri amici pan che descri… https://t.co/JSszIGdxdQ","siete talmente scemi che urlate alla transfobia nella comunità bisessuale, esonerando i vostri amici pan che descrivono da sempre i trans come terzo sesso",[]
Wed Aug 11 12:46:29 +0000 2021,cri,,@valy_s Saranno gli LGBT a salvarci dal Green Pass? Se lo faranno darò 50€ al trans che staziona vicino casa e non… https://t.co/s60AkK9fLP,"@valy_s Saranno gli LGBT a salvarci dal Green Pass? Se lo faranno darò 50€ al trans che staziona vicino casa e non dirò più epiteti sessisti, nemmeno per gioco",[]
Wed Aug 11 12:51:11 +0000 2021,Gam62,,@GiancarloDeRisi @a_meluzzi Durante le loro parate multicolore i trans si dicono orgogliosi di esserlo e ora con il… https://t.co/rcFYxA0dzD,"@GiancarloDeRisi @a_meluzzi Durante le loro parate multicolore i trans si dicono orgogliosi di esserlo e ora con il green pass si sentono discriminati e si vergognano. La loro confusione allora non è solo sessuale ma anche mentale, mi pare.",[]
Wed Aug 11 12:58:36 +0000 2021,alessandro longo,"Giornalista, direttore Agendadigitale.eu-Digital360. Repubblica, Sole24Ore. Autore di libro Mondadori su intelligenza artificiale
https://tinylink.net/rqoM2",Perché il green pass discrimina trans e queer,,[]
Wed Aug 11 13:08:01 +0000 2021,Marisa,Liberale fino al midollo,La Cirinnà vuol modificare il green pass per i trans https://t.co/GB0iEfMfJD via @ilgiornale mamma mia l'arcobaleno… https://t.co/MHnNVr7mX3,La Cirinnà vuol modificare il green pass per i trans https://t.co/GB0iEfMfJD via @ilgiornale mamma mia l'arcobaleno un fenomeno naturale meraviglioso rovinato da questi invasati a cui interessa solo la gazzarra.povera Italia fino a quando digerire queste idiozie?,[]
